1.806680297851562500e+01,-7.180346679687500000e+01
2.198740768432617188e+01,-7.453199768066406250e+01
2.103964996337890625e+01,-6.965484619140625000e+01
1.969221496582031250e+01,-6.262069320678710938e+01
2.139346313476562500e+01,-6.981648254394531250e+01
1.723076057434082031e+01,-7.286729431152343750e+01
2.279657745361328125e+01,-7.507508087158203125e+01
2.101522254943847656e+01,-6.960144805908203125e+01
2.087577247619628906e+01,-6.254483032226562500e+01
2.177388763427734375e+01,-6.980494689941406250e+01
